TABL. 23. POWIERZCHNIA, PLONY I ZBIORY BURAKÓW CUKROWYCH;;;;;;
Wyszczególnienie;"Powierzchnia 
w ha";"Plony 
z 1 ha 
w dt";"Zbiory 
w dt";Powierzchnia;Plony;Zbiory
;;;;2021 = 100;;
;O G Ó Ł E M;;;;;
P o l s k a ;221 770;638;141 541 190;88,5;104,6;92,7
Dolnośląskie ;16 711;631;10 544 669;79,3;99,7;79,1
Kujawsko-pomorskie ;48 460;627;30 372 562;87,9;106,8;93,9
Lubelskie ;25 544;651;16 635 090;80,3;120,2;96,4
Lubuskie ;2 579;521;1 344 368;105,4;76,6;80,7
Łódzkie ;5 343;658;3 514 659;96,6;101,1;97,6
Małopolskie ;660;585;386 298;70,5;94,3;66,5
Mazowieckie ;14 854;668;9 920 919;75,4;112,6;84,9
Opolskie ;11 881;672;7 982 060;79,3;93,8;74,4
Podkarpackie ;3 222;594;1 915 476;99,2;97,9;97,1
Podlaskie ;175;687;120 020;wielokrotnie;82,8;wielokrotnie
Pomorskie ;11 698;740;8 653 968;107,1;114,7;122,8
Śląskie ;1 553;770;1 195 834;100,1;95,0;95,0
Świętokrzyskie ;1 959;628;1 229 450;85,4;97,2;83,0
Warmińsko-mazurskie ;6 454;505;3 262 412;138,0;83,0;114,5
Wielkopolskie ;51 645;645;33 298 150;87,3;104,3;91,1
Zachodniopomorskie ;19 034;587;11 165 255;111,4;96,5;107,5
