TABL. 73. POWIERZCHNIA UPRAWY, PLONY I ZBIORY TRUSKAWEK I POZIOMEK GRUNTOWYCH;;;;;;
Wyszczególnienie;"Powierzchnia
uprawy
w ha";"Plony
z 1 ha w dt";"Zbiory
w dt";Powierzchnia;Plony;Zbiory
;;;;2020 = 100;;
;OGÓŁEM;;;;;
Polska;33 653;46,3;1 558 723;102,9;103,8;106,8
Dolnośląskie;1 250;37,7;47 125;108,1;94,5;102,0
Kujawsko-pomorskie;829;41,2;34 200;142,7;105,1;150,1
Lubelskie;4 599;90,8;417 544;101,8;110,6;112,6
Lubuskie;363;74,7;27 133;115,0;114,4;131,5
Łódzkie;2 100;48,0;100 833;97,8;84,7;82,8
Małopolskie;860;41,0;35 260;116,7;121,3;141,6
Mazowieckie;17 016;36,9;627 890;99,0;102,5;101,6
Opolskie;136;66,8;9 051;99,8;111,3;111,1
Podkarpackie;336;37,0;12 424;98,7;100,3;99,0
Podlaskie;349;34,4;11 999;131,7;132,8;175,0
Pomorskie;1 050;46,2;48 510;128,2;100,7;128,9
Śląskie;269;50,1;13 500;123,4;100,0;123,4
Świętokrzyskie;2 593;36,4;94 385;102,3;103,4;105,8
Warmińsko-mazurskie;270;40,0;10 800;100,8;100,3;101,1
Wielkopolskie;1 197;46,3;55 441;112,9;104,3;117,6
Zachodniopomorskie;435;29,0;12 628;101,1;106,2;107,5
