TABL. 22. POWIERZCHNIA, PLONY I ZBIORY ZIEMNIAKÓW a);;;;;;
                AREA, YIELDS AND PRODUCTION OF POTATOES a);;;;;;
;;;;;;
"Wyszczególnienie
Specification";"Powierzchnia 
w ha
Area in ha";"Plony 
z 1 ha 
w dt
Crops
from 1 ha
in dt";"Zbiory 
w dt
Harvest
in dt";"Powierzchnia
Area";"Plony
Yields";"Zbiory
Harvest"
;;;;2022 = 100;;
;"O G Ó Ł E M
TOTAL";;;;;
P o l s k a ;188 583;296;55 900 299;96,2;96,1;92,7
Dolnośląskie ;10 268;270;2 770 835;94,6;103,8;98,1
Kujawsko-pomorskie ;15 752;285;4 482 341;104,3;86,4;89,9
Lubelskie ;9 412;312;2 933 291;94,8;96,3;91,4
Lubuskie ;2 340;223;522 783;94,8;106,2;101,0
Łódzkie ;23 162;310;7 179 768;99,1;102,6;101,7
Małopolskie ;15 473;266;4 120 835;98,6;80,6;79,6
Mazowieckie ;19 062;315;6 007 577;91,6;99,1;90,7
Opolskie ;5 179;273;1 412 473;106,7;79,6;84,9
Podkarpackie ;9 895;280;2 770 055;71,6;104,5;74,8
Podlaskie ;4 697;259;1 217 208;90,1;97,4;87,8
Pomorskie ;17 599;312;5 493 352;100,7;97,5;98,3
Śląskie ;4 147;285;1 180 278;93,3;100,7;93,8
Świętokrzyskie ;8 875;290;2 571 900;102,6;90,3;92,6
Warmińsko-mazurskie ;4 889;266;1 302 732;93,3;85,3;79,7
Wielkopolskie ;27 639;327;9 048 133;101,0;103,8;105,0
Zachodniopomorskie ;10 196;283;2 886 738;94,2;93,4;87,9
